patients,doctors,r_matching
P1,D1,0.74595456035683
P1,D2,0.801902597314097
P1,D3,0.741096742444255
P1,D4,0.71716981723288
P1,D5,0.755678474927676
P1,D6,0.813083408093094
P1,D7,0.757684123317639
P1,D8,0.769792658712095
P1,D9,0.742073781259211
P1,D10,0.754236154902775
P1,D11,0.785433105157511
P1,D12,0.847947302185299
P1,D13,0.729018358303042
P1,D14,0.719179217348826
P1,D15,0.737635028892867
P1,D16,0.695533322950124
P1,D17,0.82626360513403
P1,D18,0.745149642030203
P1,D19,0.704189844659905
P1,D20,0.733666620023105
P1,D21,0.748109254666412
P1,D22,0.751576479149167
P1,D23,0.73958687141361
P1,D24,0.727181696641501
P1,D25,0.73991007752736
P1,D26,0.728034483571181
P1,D27,0.68002165188596
P1,D28,0.809847266497059
P1,D29,0.73233873922586
P1,D30,0.732004027946778
P1,D31,0.772394163185017
P1,D32,0.748632241042639
P1,D33,0.74404839030359
P1,D34,0.684338876981332
P1,D35,0.674819550462986
P1,D36,0.728250219271805
P1,D37,0.761292121315808
P1,D38,0.66727279987467
P1,D39,0.737862030089597
P1,D40,0.743493491848431
P1,D41,0.794350851453237
P1,D42,0.829625376944809
P1,D43,0.721067216222955
P1,D44,0.764591343321128
P1,D45,0.721840132683133
P1,D46,0.72309982721539
P1,D47,0.765588132391965
P1,D48,0.772864729564615
P1,D49,0.771607727326056
P1,D50,0.799290484965531
P1,D51,0.932275669892867
P1,D52,0.751375251265323
P1,D53,0.684428932361464
P1,D54,0.745681583065898
P1,D55,0.83056578017185
P1,D56,0.737633538435976
P1,D57,0.790261926269324
P1,D58,0.740425156762786
P1,D59,0.821509374883255
P1,D60,0.718679046907471
P2,D1,0.630456875965338
P2,D2,0.664342347528498
P2,D3,0.633217960837413
P2,D4,0.607980651523172
P2,D5,0.658490216514834
P2,D6,0.648959827657728
P2,D7,0.646612605468257
P2,D8,0.63894666622825
P2,D9,0.64416390601619
P2,D10,0.648887045632058
P2,D11,0.654318474712762
P2,D12,0.635481619510259
P2,D13,0.625402345317448
P2,D14,0.627783266942388
P2,D15,0.636504687092948
P2,D16,0.604205916838082
P2,D17,0.626744503689713
P2,D18,0.642979101989303
P2,D19,0.636052520857597
P2,D20,0.631493342527007
P2,D21,0.632277262836933
P2,D22,0.641261551992421
P2,D23,0.632951723543095
P2,D24,0.628891441059729
P2,D25,0.645416116713168
P2,D26,0.646269698958927
P2,D27,0.642201895995543
P2,D28,0.634895546090145
P2,D29,0.621814219167805
P2,D30,0.633382734270032
P2,D31,0.642912533451204
P2,D32,0.617027855848659
P2,D33,0.630560997223561
P2,D34,0.60347747817281
P2,D35,0.611674746420808
P2,D36,0.881849885687033
P2,D37,0.648016228658954
P2,D38,0.879159887363048
P2,D39,0.628489575925301
P2,D40,0.624306111930294
P2,D41,0.629340837362869
P2,D42,0.636477279992583
P2,D43,0.630860870464326
P2,D44,0.864406719034709
P2,D45,0.62766105350231
P2,D46,0.620431392401858
P2,D47,0.650510278115605
P2,D48,0.821155885299197
P2,D49,0.659959420413838
P2,D50,0.648184991942386
P2,D51,0.646079141893577
P2,D52,0.646366528129209
P2,D53,0.608260128709271
P2,D54,0.879794662044926
P2,D55,0.657858149050313
P2,D56,0.634290508231969
P2,D57,0.655527017218867
P2,D58,0.644148621143379
P2,D59,0.66747589150014
P2,D60,0.625388224635063
P3,D1,0.695476828953525
P3,D2,0.760510331474615
P3,D3,0.686855808330302
P3,D4,0.678058523119223
P3,D5,0.817792711861853
P3,D6,0.743620420968805
P3,D7,0.741936755327896
P3,D8,0.716362813189403
P3,D9,0.705866474537423
P3,D10,0.708859479357425
P3,D11,0.74169870044997
P3,D12,0.723881486351071
P3,D13,0.671878708525105
P3,D14,0.654645097728382
P3,D15,0.696082088574325
P3,D16,0.636543016350008
P3,D17,0.691280583499307
P3,D18,0.697677261112997
P3,D19,0.664944740386622
P3,D20,0.700438397034105
P3,D21,0.678104592196671
P3,D22,0.716416249278036
P3,D23,0.694049315804945
P3,D24,0.689627803485629
P3,D25,0.698614893988096
P3,D26,0.704993470760263
P3,D27,0.639449560419599
P3,D28,0.650874465642678
P3,D29,0.692667164835386
P3,D30,0.678072055942626
P3,D31,0.699231936720839
P3,D32,0.700798112435849
P3,D33,0.677390016307856
P3,D34,0.649143198606738
P3,D35,0.83988889602312
P3,D36,0.671380363731759
P3,D37,0.754688728202972
P3,D38,0.645666587705966
P3,D39,0.687928546099156
P3,D40,0.725774695391128
P3,D41,0.769548559196354
P3,D42,0.699703818782762
P3,D43,0.663275468023711
P3,D44,0.724119354078935
P3,D45,0.712374368035459
P3,D46,0.699940177319163
P3,D47,0.693147615561456
P3,D48,0.749452972669817
P3,D49,0.72925854605759
P3,D50,0.749313548991839
P3,D51,0.704666139447416
P3,D52,0.717811568776815
P3,D53,0.657197002084531
P3,D54,0.692380724487109
P3,D55,0.738525214290147
P3,D56,0.715777698405723
P3,D57,0.748266414731358
P3,D58,0.707856729888912
P3,D59,0.702521208448945
P3,D60,0.902872544925513
P4,D1,0.712950519157984
P4,D2,0.839984977470578
P4,D3,0.844290667124556
P4,D4,0.690383064319524
P4,D5,0.852002309964864
P4,D6,0.877016129383484
P4,D7,0.711741896378662
P4,D8,0.723066124364454
P4,D9,0.718952530342362
P4,D10,0.721804851464768
P4,D11,0.754962070491206
P4,D12,0.750505055724862
P4,D13,0.683017749857717
P4,D14,0.803761240540793
P4,D15,0.714121781105565
P4,D16,0.661291494200045
P4,D17,0.704879900427822
P4,D18,0.705223745249812
P4,D19,0.672536212572505
P4,D20,0.714971824559699
P4,D21,0.701035078090522
P4,D22,0.72298374091369
P4,D23,0.699764011692221
P4,D24,0.695331500002924
P4,D25,0.705338484731372
P4,D26,0.716566422926773
P4,D27,0.650840297915901
P4,D28,0.663278236145872
P4,D29,0.943164920246248
P4,D30,0.700808937168075
P4,D31,0.893089603739122
P4,D32,0.707426506359096
P4,D33,0.692643531770727
P4,D34,0.732690011350519
P4,D35,0.617042719466925
P4,D36,0.684430565189854
P4,D37,0.722241894746473
P4,D38,0.652815787688052
P4,D39,0.698841196232556
P4,D40,0.709998993648949
P4,D41,0.90141318306304
P4,D42,0.710464811971011
P4,D43,0.671102090529484
P4,D44,0.78439513961013
P4,D45,0.764490308198397
P4,D46,0.705080913549089
P4,D47,0.704069642157807
P4,D48,0.750228599814108
P4,D49,0.730672073822497
P4,D50,0.858904596188155
P4,D51,0.716735712923414
P4,D52,0.722690182448493
P4,D53,0.635842478877869
P4,D54,0.695476402276505
P4,D55,0.85462075878214
P4,D56,0.719899594559727
P4,D57,0.757713356534793
P4,D58,0.708533106305284
P4,D59,0.704026606110197
P4,D60,0.672821790732308
P5,D1,0.669978992592858
P5,D2,0.735125034602388
P5,D3,0.718726471228498
P5,D4,0.6492510477352
P5,D5,0.754249892150036
P5,D6,0.732519597099313
P5,D7,0.699453563509408
P5,D8,0.675793356888584
P5,D9,0.688153495567363
P5,D10,0.684754791446214
P5,D11,0.705703655398565
P5,D12,0.684217024100119
P5,D13,0.671380871915691
P5,D14,0.722494426148424
P5,D15,0.662900020638231
P5,D16,0.652772235908498
P5,D17,0.680378428033698
P5,D18,0.687552211970646
P5,D19,0.679492643019963
P5,D20,0.67244781012664
P5,D21,0.667208724518919
P5,D22,0.687959900738797
P5,D23,0.668611143125924
P5,D24,0.679843062097777
P5,D25,0.668059043464175
P5,D26,0.699331938769698
P5,D27,0.668537618190569
P5,D28,0.675728487138366
P5,D29,0.722398055693992
P5,D30,0.691526405519748
P5,D31,0.732877512188962
P5,D32,0.657965209637929
P5,D33,0.678087112938838
P5,D34,0.686357629070887
P5,D35,0.630403205681089
P5,D36,0.774811185897214
P5,D37,0.708517912852325
P5,D38,0.786137582502827
P5,D39,0.659179415998066
P5,D40,0.662029841647576
P5,D41,0.713509263662629
P5,D42,0.697843942639182
P5,D43,0.672386041508487
P5,D44,0.802860628784534
P5,D45,0.690705097390824
P5,D46,0.66541054164093
P5,D47,0.70148441555096
P5,D48,0.785855791696298
P5,D49,0.704112689304493
P5,D50,0.725409745081136
P5,D51,0.683678111106142
P5,D52,0.680111247271161
P5,D53,0.669698491358607
P5,D54,0.765461037455124
P5,D55,0.742285902235008
P5,D56,0.681598592120731
P5,D57,0.721269086735081
P5,D58,0.681060894695864
P5,D59,0.717255632684867
P5,D60,0.657663490819965
P6,D1,0.715864569367427
P6,D2,0.764723098091652
P6,D3,0.680824016705278
P6,D4,0.674007234556468
P6,D5,0.827991697093931
P6,D6,0.765850474554752
P6,D7,0.7342261020604
P6,D8,0.728126372091884
P6,D9,0.715304965847386
P6,D10,0.716008681855652
P6,D11,0.754836472113086
P6,D12,0.736949721801496
P6,D13,0.675823761959574
P6,D14,0.650623205203564
P6,D15,0.727190234479836
P6,D16,0.659016550005568
P6,D17,0.691464774393938
P6,D18,0.703253937351862
P6,D19,0.657642431222695
P6,D20,0.696323618237538
P6,D21,0.703205560332622
P6,D22,0.710598091550265
P6,D23,0.704297399917992
P6,D24,0.673887133564412
P6,D25,0.712713087554232
P6,D26,0.699534053157684
P6,D27,0.640040547371613
P6,D28,0.657057784117108
P6,D29,0.6873036414328
P6,D30,0.687970448749015
P6,D31,0.703815982208066
P6,D32,0.709224397426902
P6,D33,0.699433715534394
P6,D34,0.62907022995538
P6,D35,0.872853570010415
P6,D36,0.695094470068496
P6,D37,0.776052329801278
P6,D38,0.63442588508812
P6,D39,0.706699311356219
P6,D40,0.724410326565129
P6,D41,0.789585617885418
P6,D42,0.702426159979112
P6,D43,0.670106252441223
P6,D44,0.729375777448878
P6,D45,0.691210960336895
P6,D46,0.69373070855303
P6,D47,0.69712062075555
P6,D48,0.73835904774465
P6,D49,0.734406894080124
P6,D50,0.756099947926458
P6,D51,0.716502216875712
P6,D52,0.725316783428435
P6,D53,0.654258080510808
P6,D54,0.699129140702375
P6,D55,0.747111102177591
P6,D56,0.707904961418827
P6,D57,0.741226678546828
P6,D58,0.702806754028048
P6,D59,0.697240032197107
P6,D60,0.92311404295735
P7,D1,0.644361991037344
P7,D2,0.750490801225504
P7,D3,0.781274685803837
P7,D4,0.614295280857677
P7,D5,0.797334850828477
P7,D6,0.768008763909296
P7,D7,0.667881026369091
P7,D8,0.657360628610992
P7,D9,0.654021601013821
P7,D10,0.648948563984889
P7,D11,0.674952192281957
P7,D12,0.654684821376174
P7,D13,0.64994242576504
P7,D14,0.779192200498927
P7,D15,0.650611487175504
P7,D16,0.62609765376316
P7,D17,0.643933595532223
P7,D18,0.65839889947954
P7,D19,0.655633334741439
P7,D20,0.647088333027494
P7,D21,0.648195588373353
P7,D22,0.657823459536663
P7,D23,0.643867044779994
P7,D24,0.652143440197864
P7,D25,0.643896262626295
P7,D26,0.653225473585845
P7,D27,0.630217755844745
P7,D28,0.644304014981243
P7,D29,0.858176182912039
P7,D30,0.649793506946675
P7,D31,0.817145892658758
P7,D32,0.636407158568716
P7,D33,0.647727426335548
P7,D34,0.677718174220819
P7,D35,0.622167128044472
P7,D36,0.697595200031542
P7,D37,0.671219898915867
P7,D38,0.674713613723369
P7,D39,0.639030575131059
P7,D40,0.648260465862774
P7,D41,0.795145248716141
P7,D42,0.652802263835434
P7,D43,0.648212814587958
P7,D44,0.762512210408549
P7,D45,0.678214378805057
P7,D46,0.620306135054866
P7,D47,0.651489916689587
P7,D48,0.700106933175979
P7,D49,0.669859621604894
P7,D50,0.755423903421867
P7,D51,0.650931104712095
P7,D52,0.648410966960295
P7,D53,0.635312290393807
