patients,doctors,r_matching
P1,D1,0.759392007
P1,D2,0.861644573
P1,D3,0.838274988
P1,D4,0.755409699
P1,D5,0.833389036
P1,D6,0.889983342
P1,D7,0.779498776
P1,D8,0.78453247
P1,D9,0.781485789
P1,D10,0.768126058
P1,D11,0.814314478
P1,D12,0.816970358
P1,D13,0.741530513
P1,D14,0.790725989
P1,D15,0.777035602
P1,D16,0.706216085
P1,D17,0.757680253
P1,D18,0.766086367
P1,D19,0.715345524
P1,D20,0.772871084
P1,D21,0.765108442
P1,D22,0.787224465
P1,D23,0.75267643
P1,D24,0.745883542
P1,D25,0.75301728
P1,D26,0.766099549
P1,D27,0.716327195
P1,D28,0.740286952
P1,D29,0.86079253
P1,D30,0.76706291
P1,D31,0.877128112
P1,D32,0.762215973
P1,D33,0.757381702
P1,D34,0.747934737
P1,D35,0.684370645
P1,D36,0.740720419
P1,D37,0.792089867
P1,D38,0.676411561
P1,D39,0.750857353
P1,D40,0.781021094
P1,D41,0.885644793
P1,D42,0.761461247
P1,D43,0.733144984
P1,D44,0.802569089
P1,D45,0.781028272
P1,D46,0.761567535
P1,D47,0.786108114
P1,D48,0.787772356
P1,D49,0.7864467
P1,D50,0.868696593
P1,D51,0.901617663
P1,D52,0.765108831
P1,D53,0.694505001
P1,D54,0.759104123
P1,D55,0.86562295
P1,D56,0.750616365
P1,D57,0.805676459
P1,D58,0.753560504
P1,D59,0.771171576
P1,D60,0.730626345
P2,D1,0.648229032
P2,D2,0.763693371
P2,D3,0.810838552
P2,D4,0.796097045
P2,D5,0.738562854
P2,D6,0.775421754
P2,D7,0.717449476
P2,D8,0.657875388
P2,D9,0.835970381
P2,D10,0.669169946
P2,D11,0.753498442
P2,D12,0.729178386
P2,D13,0.642485922
P2,D14,0.699847102
P2,D15,0.828786992
P2,D16,0.618401902
P2,D17,0.644010923
P2,D18,0.712051265
P2,D19,0.654586972
P2,D20,0.823229062
P2,D21,0.672940466
P2,D22,0.824174251
P2,D23,0.651063753
P2,D24,0.675351546
P2,D25,0.665226172
P2,D26,0.83455033
P2,D27,0.83560617
P2,D28,0.653272383
P2,D29,0.744616007
P2,D30,0.798717246
P2,D31,0.775735571
P2,D32,0.632970575
P2,D33,0.648347338
P2,D34,0.791175976
P2,D35,0.626888211
P2,D36,0.655327524
P2,D37,0.77680872
P2,D38,0.653765208
P2,D39,0.645993727
P2,D40,0.800508154
P2,D41,0.73035028
P2,D42,0.655069597
P2,D43,0.648688063
P2,D44,0.689602672
P2,D45,0.819120675
P2,D46,0.809611903
P2,D47,0.824539309
P2,D48,0.677235488
P2,D49,0.681750712
P2,D50,0.764093672
P2,D51,0.665979521
P2,D52,0.666306058
P2,D53,0.623008419
P2,D54,0.653141164
P2,D55,0.721057684
P2,D56,0.652584921
P2,D57,0.735356693
P2,D58,0.663786005
P2,D59,0.73094051
P2,D60,0.642469878
P3,D1,0.695474855
P3,D2,0.817767349
P3,D3,0.686853922
P3,D4,0.678056722
P3,D5,0.690341896
P3,D6,0.770116125
P3,D7,0.889980409
P3,D8,0.764187934
P3,D9,0.700992853
P3,D10,0.923648555
P3,D11,0.892541867
P3,D12,0.723879226
P3,D13,0.687050886
P3,D14,0.664622412
P3,D15,0.69608011
P3,D16,0.636541642
P3,D17,0.691278647
P3,D18,0.697675261
P3,D19,0.664943073
P3,D20,0.700436367
P3,D21,0.678102797
P3,D22,0.716414059
P3,D23,0.694047358
P3,D24,0.689625885
P3,D25,0.93769847
P3,D26,0.719591206
P3,D27,0.639448149
P3,D28,0.650872945
P3,D29,0.692665214
P3,D30,0.678070258
P3,D31,0.699229925
P3,D32,0.700796081
P3,D33,0.677388228
P3,D34,0.649141691
P3,D35,0.600918881
P3,D36,0.671378637
P3,D37,0.697972381
P3,D38,0.645665117
P3,D39,0.687926649
P3,D40,0.691266111
P3,D41,0.72863366
P3,D42,0.699701799
P3,D43,0.663273821
P3,D44,0.724117085
P3,D45,0.712372215
P3,D46,0.699938151
P3,D47,0.693145664
P3,D48,0.789133429
P3,D49,0.80433594
P3,D50,0.749311027
P3,D51,0.704664071
P3,D52,0.941464519
P3,D53,0.86770587
P3,D54,0.692378783
P3,D55,0.738522803
P3,D56,0.715775513
P3,D57,0.748263899
P3,D58,0.707854626
P3,D59,0.702519164
P3,D60,0.663855846
P4,D1,0.712950557
P4,D2,0.83998501
P4,D3,0.844290674
P4,D4,0.690383098
P4,D5,0.852002323
P4,D6,0.877016157
P4,D7,0.711741934
P4,D8,0.723066164
P4,D9,0.718952569
P4,D10,0.721804891
P4,D11,0.754962115
P4,D12,0.750505101
P4,D13,0.683017783
P4,D14,0.803761248
P4,D15,0.714121819
P4,D16,0.661291523
P4,D17,0.704879937
P4,D18,0.705223782
P4,D19,0.672536243
P4,D20,0.714971863
P4,D21,0.701035114
P4,D22,0.722983779
P4,D23,0.699764047
P4,D24,0.695331533
P4,D25,0.705338521
P4,D26,0.716566462
P4,D27,0.650840325
P4,D28,0.663278265
P4,D29,0.943164909
P4,D30,0.700808973
P4,D31,0.893089608
P4,D32,0.707426543
P4,D33,0.692643566
P4,D34,0.732690028
P4,D35,0.61704274
P4,D36,0.684430598
P4,D37,0.722241934
P4,D38,0.652815815
P4,D39,0.698841232
P4,D40,0.709999031
P4,D41,0.901413198
P4,D42,0.71046485
P4,D43,0.671102121
P4,D44,0.784395172
P4,D45,0.764490337
P4,D46,0.70508095
P4,D47,0.704069679
P4,D48,0.750228645
P4,D49,0.730672115
P4,D50,0.858904625
P4,D51,0.716735752
P4,D52,0.722690222
P4,D53,0.635842503
P4,D54,0.695476437
P4,D55,0.854620787
P4,D56,0.719899634
P4,D57,0.757713403
P4,D58,0.708533144
P4,D59,0.704026643
P4,D60,0.672821822
P5,D1,0.641839258
P5,D2,0.790685107
P5,D3,0.653161001
P5,D4,0.624542793
P5,D5,0.709669149
P5,D6,0.759152209
P5,D7,0.666434371
P5,D8,0.646691065
P5,D9,0.657005011
P5,D10,0.69760833
P5,D11,0.670962247
P5,D12,0.653720213
P5,D13,0.643009058
P5,D14,0.809862038
P5,D15,0.635932199
P5,D16,0.872553593
P5,D17,0.650517093
P5,D18,0.858940462
P5,D19,0.894916704
P5,D20,0.643899372
P5,D21,0.867294808
P5,D22,0.671426483
P5,D23,0.885977595
P5,D24,0.649139742
P5,D25,0.640237159
P5,D26,0.666332883
P5,D27,0.640636507
P5,D28,0.646636936
P5,D29,0.636643493
P5,D30,0.722148447
P5,D31,0.658650999
P5,D32,0.631814338
P5,D33,0.648605092
P5,D34,0.642182316
P5,D35,0.608815173
P5,D36,0.639160295
P5,D37,0.673998124
P5,D38,0.649095252
P5,D39,0.877836254
P5,D40,0.635206081
P5,D41,0.647442435
P5,D42,0.665091219
P5,D43,0.888605874
P5,D44,0.663146165
P5,D45,0.649017064
P5,D46,0.638027114
P5,D47,0.668129022
P5,D48,0.760034651
P5,D49,0.86697757
P5,D50,0.794988557
P5,D51,0.653270518
P5,D52,0.650294141
P5,D53,0.64160519
P5,D54,0.63140623
P5,D55,0.8040918
P5,D56,0.89507828
P5,D57,0.851058031
P5,D58,0.894769782
P5,D59,0.681289327
P5,D60,0.631562567
P6,D1,0.715864042
P6,D2,0.826209819
P6,D3,0.816713118
P6,D4,0.920075675
P6,D5,0.696347126
P6,D6,0.850466676
P6,D7,0.775881896
P6,D8,0.728125815
P6,D9,0.954582955
P6,D10,0.716008154
P6,D11,0.863625954
P6,D12,0.843717217
P6,D13,0.675823332
P6,D14,0.650622837
P6,D15,0.973655985
P6,D16,0.659016162
P6,D17,0.691464307
P6,D18,0.773629045
P6,D19,0.657642046
P6,D20,0.94298259
P6,D21,0.735336277
P6,D22,0.940688773
P6,D23,0.704296901
P6,D24,0.712032432
P6,D25,0.712712568
P6,D26,0.938433647
P6,D27,0.886997266
P6,D28,0.6570574
P6,D29,0.687303184
P6,D30,0.896800042
P6,D31,0.754803124
P6,D32,0.709223886
P6,D33,0.699433228
P6,D34,0.834381984
P6,D35,0.626018191
P6,D36,0.695093993
P6,D37,0.871617496
P6,D38,0.634425557
P6,D39,0.706698806
P6,D40,0.914773444
P6,D41,0.771047169
P6,D42,0.702425665
P6,D43,0.670105837
P6,D44,0.729375217
P6,D45,0.90706124
P6,D46,0.938902203
P6,D47,0.914976981
P6,D48,0.738358465
P6,D49,0.734406321
P6,D50,0.833684638
P6,D51,0.716501688
P6,D52,0.725316233
P6,D53,0.635817917
P6,D54,0.699128654
P6,D55,0.747110498
P6,D56,0.707904453
P6,D57,0.824441247
P6,D58,0.702806259
P6,D59,0.754922277
P6,D60,0.676230986
P7,D1,0.633391136
P7,D2,0.668356462
P7,D3,0.640370759
P7,D4,0.605609358
P7,D5,0.665020007
P7,D6,0.660327992
P7,D7,0.655122836
P7,D8,0.645401936
P7,D9,0.642316664
P7,D10,0.637629151
P7,D11,0.65885722
P7,D12,0.642929481
P7,D13,0.638547485
P7,D14,0.655433408
P7,D15,0.639165706
P7,D16,0.616514815
P7,D17,0.632995292
P7,D18,0.646361309
P7,D19,0.643805919
P7,D20,0.635910294
P7,D21,0.636933403
P7,D22,0.642974131
P7,D23,0.632933799
P7,D24,0.63679203
P7,D25,0.632960802
P7,D26,0.641581044
P7,D27,0.620321808
P7,D28,0.63333757
P7,D29,0.631698494
P7,D30,0.63840989
P7,D31,0.647789278
P7,D32,0.626040833
P7,D33,0.636500816
P7,D34,0.609960182
P7,D35,0.612882989
P7,D36,0.880372967
P7,D37,0.658207981
P7,D38,0.858169285
P7,D39,0.628464887
P7,D40,0.636993353
P7,D41,0.647629097
P7,D42,0.641189987
P7,D43,0.63694932
P7,D44,0.876779864
P7,D45,0.623476673
P7,D46,0.61116342
P7,D47,0.639977379
P7,D48,0.818166313
P7,D49,0.656951065
P7,D50,0.659004205
P7,D51,0.639461033
P7,D52,0.637132417
P7,D53,0.625029182
P7,D54,0.87746118
P7,D55,0.66606865
P7,D56,0.628911155
P7,D57,0.652871342
P7,D58,0.631104487
P7,D59,0.65816326
P7,D60,0.633944169
P8,D1,0.695575028
P8,D2,0.810012266
P8,D3,0.696423998
P8,D4,0.687853216
P8,D5,0.7083805
P8,D6,0.773924471
P8,D7,0.898536752
P8,D8,0.754393963
P8,D9,0.704651112
P8,D10,0.925510185
P8,D11,0.885986152
P8,D12,0.72434378
P8,D13,0.693971127
P8,D14,0.685635164
P8,D15,0.687494676
P8,D16,0.650712019
P8,D17,0.693543706
P8,D18,0.712864984
P8,D19,0.680977632
P8,D20,0.710141387
P8,D21,0.692997635
P8,D22,0.717092681
P8,D23,0.686150595
P8,D24,0.698167477
P8,D25,0.936390745
P8,D26,0.729677741
P8,D27,0.657182881
P8,D28,0.663161957
P8,D29,0.69263703
P8,D30,0.700674778
P8,D31,0.709615954
P8,D32,0.692574412
P8,D33,0.678683387
P8,D34,0.669303748
P8,D35,0.612105827
P8,D36,0.67230011
P8,D37,0.708139215
P8,D38,0.655134722
P8,D39,0.690686881
P8,D40,0.711197742
P8,D41,0.728845938
P8,D42,0.703293543
P8,D43,0.679011406
P8,D44,0.716855705
P8,D45,0.713421138
P8,D46,0.704868744
P8,D47,0.696428008
P8,D48,0.796745862
P8,D49,0.798081872
P8,D50,0.744804246
P8,D51,0.703318832
P8,D52,0.937396983
P8,D53,0.880253463
P8,D54,0.69022636
P8,D55,0.740443238
P8,D56,0.717554152
P8,D57,0.75728709
P8,D58,0.708080957
P8,D59,0.716078371
P8,D60,0.665766328
P9,D1,0.630081726
P9,D2,0.64892134
P9,D3,0.624423149
P9,D4,0.606868703
P9,D5,0.659126256
P9,D6,0.652258361
P9,D7,0.634163257
P9,D8,0.626036459
P9,D9,0.633785132
P9,D10,0.635250414
P9,D11,0.643276234
P9,D12,0.63386326
P9,D13,0.629885149
P9,D14,0.622390426
P9,D15,0.631869571
P9,D16,0.622633895
P9,D17,0.620815823
P9,D18,0.6416379
P9,D19,0.628937659
P9,D20,0.62453952
P9,D21,0.64365837
P9,D22,0.629446493
P9,D23,0.620542117
P9,D24,0.617381862
P9,D25,0.634343367
P9,D26,0.639150286
P9,D27,0.645258638
P9,D28,0.63202564
P9,D29,0.612634124
P9,D30,0.640250811
P9,D31,0.641441706
P9,D32,0.607754328
P9,D33,0.63014239
P9,D34,0.606368932
P9,D35,0.624052872
P9,D36,0.648292629
P9,D37,0.656948945
P9,D38,0.624931284
P9,D39,0.634111538
P9,D40,0.623490623
P9,D41,0.630291568
P9,D42,0.630687758
P9,D43,0.626250003
P9,D44,0.636401993
P9,D45,0.613771966
P9,D46,0.61202449
P9,D47,0.643146973
P9,D48,0.646240657
P9,D49,0.646235236
P9,D50,0.646347218
P9,D51,0.642018894
P9,D52,0.640517711
P9,D53,0.617105311
P9,D54,0.625086415
P9,D55,0.65565668
P9,D56,0.629758083
P9,D57,0.649165934
P9,D58,0.639429018
P9,D59,0.676018528
P9,D60,0.631077833
P10,D1,0.659395112
P10,D2,0.69401016
P10,D3,0.69656849
P10,D4,0.656596063
P10,D5,0.861828683
P10,D6,0.69352815
P10,D7,0.728027898
P10,D8,0.660598643
P10,D9,0.68311049
P10,D10,0.684491469
P10,D11,0.681894505
P10,D12,0.689935124
P10,D13,0.67917585
P10,D14,0.703445594
P10,D15,0.659895921
P10,D16,0.656583943
P10,D17,0.667731887
P10,D18,0.690102518
P10,D19,0.677930738
P10,D20,0.667791838
P10,D21,0.677411075
P10,D22,0.682593726
P10,D23,0.655583407
P10,D24,0.681223039
P10,D25,0.669783255
P10,D26,0.679937811
P10,D27,0.675893461
P10,D28,0.680432033
P10,D29,0.657629401
P10,D30,0.69652901
P10,D31,0.696027296
P10,D32,0.642510861
P10,D33,0.670894539
P10,D34,0.66762557
P10,D35,0.911064646
P10,D36,0.672499608
P10,D37,0.769486592
P10,D38,0.675426802
P10,D39,0.656293783
P10,D40,0.710379568
P10,D41,0.712873359
P10,D42,0.669014093
P10,D43,0.6723211
P10,D44,0.674748349
P10,D45,0.67181953
P10,D46,0.652414322
P10,D47,0.704798969
P10,D48,0.692335264
P10,D49,0.687789771
P10,D50,0.693975357
P10,D51,0.683107844
P10,D52,0.669910013
P10,D53,0.671419677
P10,D54,0.654713243
P10,D55,0.700568785
P10,D56,0.662616776
P10,D57,0.686341273
P10,D58,0.671579604
P10,D59,0.701935957
P10,D60,0.904630414
P11,D1,0.703458053
P11,D2,0.824241199
P11,D3,0.819362477
P11,D4,0.919385364
P11,D5,0.706647738
P11,D6,0.847962781
P11,D7,0.779216669
P11,D8,0.728674032
P11,D9,0.951324689
P11,D10,0.707148865
P11,D11,0.860494172
P11,D12,0.844692568
P11,D13,0.686014533
P11,D14,0.672415762
P11,D15,0.944633938
P11,D16,0.652434703
P11,D17,0.706603109
P11,D18,0.769015447
P11,D19,0.666455495
P11,D20,0.944871908
P11,D21,0.725531443
P11,D22,0.939187112
P11,D23,0.695409374
P11,D24,0.718511392
P11,D25,0.697286388
P11,D26,0.940648119
P11,D27,0.886225015
P11,D28,0.671872654
P11,D29,0.697976582
P11,D30,0.896409078
P11,D31,0.766063374
P11,D32,0.707751591
P11,D33,0.694026731
P11,D34,0.853216363
P11,D35,0.622124294
P11,D36,0.676962142
P11,D37,0.865784528
P11,D38,0.634097975
P11,D39,0.695894072
P11,D40,0.928721455
P11,D41,0.769140268
P11,D42,0.70538742
P11,D43,0.670495211
P11,D44,0.732875123
P11,D45,0.907371917
P11,D46,0.937621467
P11,D47,0.921113669
P11,D48,0.73935889
P11,D49,0.723563231
P11,D50,0.833726544
P11,D51,0.70676132
P11,D52,0.717745925
P11,D53,0.645064373
P11,D54,0.700878883
P11,D55,0.75448665
P11,D56,0.713928895
P11,D57,0.828803478
P11,D58,0.703597065
P11,D59,0.754225952
P11,D60,0.679022239
P12,D1,0.683994476
P12,D2,0.793869883
P12,D3,0.793445896
P12,D4,0.899540495
P12,D5,0.676579546
P12,D6,0.810375296
P12,D7,0.744480848
P12,D8,0.694336067
P12,D9,0.925263461
P12,D10,0.683292117
P12,D11,0.82991045
P12,D12,0.818902207
P12,D13,0.653062114
P12,D14,0.647343908
P12,D15,0.927742703
P12,D16,0.641123455
P12,D17,0.675449848
P12,D18,0.745061897
P12,D19,0.64354714
P12,D20,0.926253726
P12,D21,0.705856754
P12,D22,0.911959161
P12,D23,0.674282843
P12,D24,0.697522332
P12,D25,0.682844612
P12,D26,0.923158523
P12,D27,0.866480176
P12,D28,0.632145175
P12,D29,0.675609652
P12,D30,0.876562738
P12,D31,0.731225704
P12,D32,0.679480931
P12,D33,0.668266753
P12,D34,0.834640331
P12,D35,0.593546898
P12,D36,0.662337016
P12,D37,0.838565729
P12,D38,0.625772438
P12,D39,0.678995075
P12,D40,0.89737309
P12,D41,0.740140369
P12,D42,0.682594875
P12,D43,0.650488434
P12,D44,0.703078687
P12,D45,0.890904266
P12,D46,0.916923583
P12,D47,0.880926423
P12,D48,0.719088201
P12,D49,0.699450801
P12,D50,0.811061588
P12,D51,0.684699992
P12,D52,0.702018654
P12,D53,0.62205095
P12,D54,0.675670443
P12,D55,0.715496365
P12,D56,0.689564099
P12,D57,0.80486602
P12,D58,0.683145557
P12,D59,0.742353813
P12,D60,0.655438051
P13,D1,0.70060762
P13,D2,0.813139127
P13,D3,0.812437245
P13,D4,0.913114932
P13,D5,0.688237192
P13,D6,0.823510966
P13,D7,0.772733236
P13,D8,0.708922441
P13,D9,0.936148361
P13,D10,0.706353953
P13,D11,0.843821255
P13,D12,0.826308762
P13,D13,0.6685364
P13,D14,0.646149159
P13,D15,0.936758889
P13,D16,0.643334989
P13,D17,0.689710715
P13,D18,0.766614738
P13,D19,0.657459447
P13,D20,0.930727717
P13,D21,0.709646428
P13,D22,0.931513368
P13,D23,0.691926303
P13,D24,0.71839958
P13,D25,0.696608291
P13,D26,0.933827324
P13,D27,0.883595375
P13,D28,0.644668691
P13,D29,0.688016506
P13,D30,0.881784366
P13,D31,0.740139897
P13,D32,0.694420123
P13,D33,0.680023214
P13,D34,0.841508526
P13,D35,0.602605489
P13,D36,0.67463001
P13,D37,0.852715782
P13,D38,0.64676463
P13,D39,0.687434909
P13,D40,0.901791296
P13,D41,0.746625649
P13,D42,0.699126928
P13,D43,0.665428516
P13,D44,0.720741174
P13,D45,0.916711463
P13,D46,0.93479656
P13,D47,0.906973465
P13,D48,0.743777061
P13,D49,0.72971836
P13,D50,0.820686937
P13,D51,0.705418992
P13,D52,0.717224033
