id,2doctor,,,capacity_avg,capacity
D1,https://TanWeifeng1231.haodf.com,,,1.8,1
D2,https://Yiluwennuan.haodf.com,,,1.667,1
D3,https://chengtieyao.haodf.com,,,2.286,2
D4,https://chenyongcq.haodf.com,,,1.667,1
D5,https://chexu.haodf.com,,,2.25,1
D6,https://doctorlihg.haodf.com,,,2.5,1
D7,https://doctormy.haodf.com,,,1.667,1
D8,https://doctoryindalong.haodf.com,,,1.25,1
D9,https://drliuff.haodf.com,,,1.25,1
D10,https://dryanjianjun.haodf.com,,,1.5,1
D11,https://dryuanlei.haodf.com,,,1,1
D12,https://drzhangxiuping015.haodf.com,,,2,2
D13,https://drzhoujian.haodf.com,,,1.33,1
D14,https://gufangmingdr.haodf.com,,,1.2,1
D15,https://hdfpenglw.haodf.com,,,7,7
D16,https://jiangxiaoqing.haodf.com,,,1.5,1
D17,https://jinzhongtian.haodf.com,,,1.667,1
D18,https://ligang1208.haodf.com,,,1.5,1
D19,https://luchongde.haodf.com,,,2.11,2
D20,https://luxinlxys.haodf.com,,,1.889,1
D21,https://popoyuan77.haodf.com,,,1.25,1
D22,https://qilulitao.haodf.com,,,1.8,1
D23,https://qinyugang.haodf.com,,,1.833,1
D24,https://rjwangjian.haodf.com,,,1.25,1
D25,https://shixianjie.haodf.com,,,1,1
D26,https://sunshinegao.haodf.com,,,1,1
D27,https://sunyanfu.haodf.com,,,1.167,1
D28,https://surgeongaojie.haodf.com,,,3.471,3
D29,https://wangdong.haodf.com,,,1.778,1
D30,https://xinghanqian.haodf.com,,,3.25,3
D31,https://zhangruoyan.haodf.com,,,2,2
D32,https://zhangyoulei1.haodf.com,,,2.091,2
D33,https://zheng021.haodf.com,,,1.545,1
D34,https://zhjihong.haodf.com,,,1.125,1
D35,https://zsshiguoming.haodf.com,,,1.25,1
D36,https://zyxuxiao.haodf.com,,,1.4,1
