patients,doctors,r_matching
P1,D1,0.672564806576419
P1,D2,0.643569904219963
P1,D3,0.905846572327488
P1,D4,0.627751916340242
P1,D5,0.660360122842372
P1,D6,0.645319185710062
P1,D7,0.661135070101147
P1,D8,0.683239233550189
P1,D9,0.651272204011383
P1,D10,0.672842176807884
P1,D11,0.682115522912973
P1,D12,0.648085756698991
P1,D13,0.613815938841147
P1,D14,0.662195046569198
P1,D15,0.749699173906189
P1,D16,0.687901247706612
P1,D17,0.677508827394811
P1,D18,0.599477007225756
P1,D19,0.663370893195049
P1,D20,0.674117755917348
P1,D21,0.619638105967618
P1,D22,0.662938217772838
P1,D23,0.653045617956116
P1,D24,0.677192845038632
P1,D25,0.647909661083417
P1,D26,0.664057744958162
P1,D27,0.861777953365429
P1,D28,0.655868348175652
P1,D29,0.663110901642434
P1,D30,0.676105586910232
P1,D31,0.681887535209085
P1,D32,0.657003986848345
P1,D33,0.66069949219961
P1,D34,0.654428595736392
P1,D35,0.652554958439783
P1,D36,0.563301073441544
P2,D1,0.687199869182983
P2,D2,0.658330323927435
P2,D3,0.646619091655682
P2,D4,0.624453637923143
P2,D5,0.652829446413311
P2,D6,0.680268881306249
P2,D7,0.673619348429654
P2,D8,0.658055641414588
P2,D9,0.639424607971677
P2,D10,0.70718973054518
P2,D11,0.716156999430525
P2,D12,0.671735978527002
P2,D13,0.61625157367869
P2,D14,0.672240988701307
P2,D15,0.702796009656459
P2,D16,0.767821915441924
P2,D17,0.681575175093061
P2,D18,0.851437501722849
P2,D19,0.636801184356272
P2,D20,0.6950359095765
P2,D21,0.862004153366051
P2,D22,0.920473111750155
P2,D23,0.952657352077054
P2,D24,0.767349082486661
P2,D25,0.681712668828029
P2,D26,0.680937895490129
P2,D27,0.622500314767105
P2,D28,0.695248109694122
P2,D29,0.651680294087695
P2,D30,0.680734360375772
P2,D31,0.951312598057512
P2,D32,0.690946846548716
P2,D33,0.71078639979296
P2,D34,0.668815436795254
P2,D35,0.942036292412598
P2,D36,0.584919713574193
P3,D1,0.680936995847232
P3,D2,0.658393496950812
P3,D3,0.657681917404144
P3,D4,0.633071283719543
P3,D5,0.654035119774328
P3,D6,0.8956359615157
P3,D7,0.675901294572533
P3,D8,0.941520772748918
P3,D9,0.651845771221447
P3,D10,0.678053500367258
P3,D11,0.697759874852059
P3,D12,0.67852025166009
P3,D13,0.609669707260418
P3,D14,0.679467157638263
P3,D15,0.701122440336759
P3,D16,0.695190402291657
P3,D17,0.695450748050076
P3,D18,0.60170360924925
P3,D19,0.688275898925755
P3,D20,0.686540775797938
P3,D21,0.63192171089318
P3,D22,0.666221018684631
P3,D23,0.644231371607319
P3,D24,0.691539051774943
P3,D25,0.702664002920322
P3,D26,0.679649493128076
P3,D27,0.618876360033019
P3,D28,0.666895113301922
P3,D29,0.677432947002956
P3,D30,0.675172100502125
P3,D31,0.70651475843471
P3,D32,0.679337551150936
P3,D33,0.66588284468274
P3,D34,0.667296711009695
P3,D35,0.657325442473454
P3,D36,0.570468712856266
P4,D1,0.640619311872694
P4,D2,0.688000068308654
P4,D3,0.849070651224644
P4,D4,0.660722243828747
P4,D5,0.628835489137798
P4,D6,0.626800317369928
P4,D7,0.637685332503348
P4,D8,0.692303016279293
P4,D9,0.616703666113218
P4,D10,0.663600602260518
P4,D11,0.633126929446299
P4,D12,0.625369853038123
P4,D13,0.602827794658437
P4,D14,0.678192202839153
P4,D15,0.755698364933473
P4,D16,0.693961037555096
P4,D17,0.64554332416109
P4,D18,0.584865762137444
P4,D19,0.676246834942901
P4,D20,0.635189908938195
P4,D21,0.645107852233081
P4,D22,0.697817055025942
P4,D23,0.613675416761656
P4,D24,0.721329943657491
P4,D25,0.618021363960478
P4,D26,0.683097327465311
P4,D27,0.835552032990396
P4,D28,0.64002387015676
P4,D29,0.714864504710019
P4,D30,0.623394719167527
P4,D31,0.672770003854367
P4,D32,0.613952066967496
P4,D33,0.632783121827006
P4,D34,0.670519185186736
P4,D35,0.632960042124291
P4,D36,0.542123998939027
P5,D1,0.685673142219219
P5,D2,0.64210327909922
P5,D3,0.821767985965951
P5,D4,0.601158528161325
P5,D5,0.809294381761542
P5,D6,0.650692543699307
P5,D7,0.656810311996381
P5,D8,0.63820380421654
P5,D9,0.635407307100537
P5,D10,0.678247200714576
P5,D11,0.765103885728627
P5,D12,0.664683765835695
P5,D13,0.598016323398
P5,D14,0.637920214321783
P5,D15,0.730190788971704
P5,D16,0.792463652826501
P5,D17,0.654019627380758
P5,D18,0.569231892149371
P5,D19,0.641969447995613
P5,D20,0.691214984479294
P5,D21,0.587797542728697
P5,D22,0.648836279997633
P5,D23,0.66845959077498
P5,D24,0.769512710625405
P5,D25,0.638202883936516
P5,D26,0.672182200478919
P5,D27,0.762856232959382
P5,D28,0.838441383138253
P5,D29,0.769058116261287
P5,D30,0.677883484713654
P5,D31,0.660786070379513
P5,D32,0.635619766634523
P5,D33,0.676015548950025
P5,D34,0.633005362498007
P5,D35,0.666847069762863
P5,D36,0.556506043253687
P6,D1,0.637874481808104
P6,D2,0.608341125742566
P6,D3,0.62071887195589
P6,D4,0.640190803476233
P6,D5,0.613136295054498
P6,D6,0.872347486033485
P6,D7,0.646948830310056
P6,D8,0.850596700031444
P6,D9,0.65378532423768
P6,D10,0.616918216827588
P6,D11,0.645559572599933
P6,D12,0.608074307348115
P6,D13,0.64632941110709
P6,D14,0.659179925075398
P6,D15,0.649712535457421
P6,D16,0.663440450753935
P6,D17,0.665835151730262
P6,D18,0.672110288122636
P6,D19,0.60411811112058
P6,D20,0.617102703367969
P6,D21,0.650100205286507
P6,D22,0.615847093421294
P6,D23,0.606743851457866
P6,D24,0.641970722183774
P6,D25,0.636456966450677
P6,D26,0.616432388138995
P6,D27,0.643397179927518
P6,D28,0.613121651743046
P6,D29,0.600092438111357
P6,D30,0.619187233656532
P6,D31,0.630534079525157
P6,D32,0.643684659026883
P6,D33,0.630643697602071
P6,D34,0.657649611758265
P6,D35,0.650353356875368
P6,D36,0.636858221365556
P7,D1,0.603290096779836
P7,D2,0.684163271405838
P7,D3,0.585518076849949
P7,D4,0.674534593062575
P7,D5,0.587152787473444
P7,D6,0.610501508649021
P7,D7,0.628661663005073
P7,D8,0.695914383920889
P7,D9,0.603658149484119
P7,D10,0.635157436295614
P7,D11,0.619814099350766
P7,D12,0.588569141314635
P7,D13,0.605985777162538
P7,D14,0.673815463169575
P7,D15,0.678422303034927
P7,D16,0.665654993702269
P7,D17,0.639137852801339
P7,D18,0.588871922854864
P7,D19,0.660316356516416
P7,D20,0.597823055854053
P7,D21,0.658308476318925
P7,D22,0.691397040196827
P7,D23,0.582483077730498
P7,D24,0.709759066916029
P7,D25,0.595206014228061
P7,D26,0.661223424162761
P7,D27,0.587631928789296
P7,D28,0.587028427597146
P7,D29,0.706323885967906
P7,D30,0.848304467703266
P7,D31,0.644591273302732
P7,D32,0.874661187538865
P7,D33,0.602853903396329
P7,D34,0.668707859389774
P7,D35,0.595205128717081
P7,D36,0.541032967294775
P8,D1,0.624406631622663
P8,D2,0.636046817003802
P8,D3,0.603843108400337
P8,D4,0.877166634864939
P8,D5,0.59039744249959
P8,D6,0.618713363410099
P8,D7,0.63117888457963
P8,D8,0.648567933280932
P8,D9,0.609694828898613
P8,D10,0.628532021503009
P8,D11,0.632776075151571
P8,D12,0.60479742632661
P8,D13,0.620050894658804
P8,D14,0.643929091021812
P8,D15,0.659781013276389
P8,D16,0.640064902703594
P8,D17,0.657927240407152
P8,D18,0.602744858702286
P8,D19,0.620646056463461
P8,D20,0.616340762363771
P8,D21,0.610858844266368
P8,D22,0.640124759159209
P8,D23,0.613832767026941
P8,D24,0.660009826071832
P8,D25,0.609290215643039
P8,D26,0.625134532469346
P8,D27,0.601536917692031
P8,D28,0.605016880236744
P8,D29,0.636336926075048
P8,D30,0.612972860607923
P8,D31,0.635333084649041
P8,D32,0.629107060072509
P8,D33,0.615339609466047
P8,D34,0.64061811956485
P8,D35,0.630700275524916
P8,D36,0.572137554256666
P9,D1,0.62021393882108
P9,D2,0.604412150148419
P9,D3,0.596398952795565
P9,D4,0.612324764217083
P9,D5,0.618173986652757
P9,D6,0.608949924399834
P9,D7,0.60117404773672
P9,D8,0.615796483103914
