id,2doctor,,,capacity_min,capacity_max,capacity_avg
D1,https://TanWeifeng1231.haodf.com,,,1,3,1.8
D2,https://Yiluwennuan.haodf.com,,,1,2,1.667
D3,https://chengtieyao.haodf.com,,,1,4,2.286
D4,https://chenyongcq.haodf.com,,,1,3,1.667
D5,https://chexu.haodf.com,,,1,4,2.25
D6,https://doctorlihg.haodf.com,,,1,4,2.5
D7,https://doctormy.haodf.com,,,1,2,1.667
D8,https://doctoryindalong.haodf.com,,,1,2,1.25
D9,https://drliuff.haodf.com,,,1,2,1.25
D10,https://dryanjianjun.haodf.com,,,1,3,1.5
D11,https://dryuanlei.haodf.com,,,1,1,1
D12,https://drzhangxiuping015.haodf.com,,,1,3,2
D13,https://drzhoujian.haodf.com,,,1,2,1.33
D14,https://gufangmingdr.haodf.com,,,1,2,1.2
D15,https://hdfpenglw.haodf.com,,,7,7,7
D16,https://jiangxiaoqing.haodf.com,,,1,3,1.5
D17,https://jinzhongtian.haodf.com,,,1,2,1.667
D18,https://ligang1208.haodf.com,,,1,2,1.5
D19,https://luchongde.haodf.com,,,1,4,2.11
D20,https://luxinlxys.haodf.com,,,1,3,1.889
D21,https://popoyuan77.haodf.com,,,1,2,1.25
D22,https://qilulitao.haodf.com,,,1,4,1.8
D23,https://qinyugang.haodf.com,,,1,5,1.833
D24,https://rjwangjian.haodf.com,,,1,2,1.25
D25,https://shixianjie.haodf.com,,,1,1,1
D26,https://sunshinegao.haodf.com,,,1,1,1
D27,https://sunyanfu.haodf.com,,,1,2,1.167
D28,https://surgeongaojie.haodf.com,,,1,14,3.471
D29,https://wangdong.haodf.com,,,1,3,1.778
D30,https://xinghanqian.haodf.com,,,1,8,3.25
D31,https://zhangruoyan.haodf.com,,,1,3,2
D32,https://zhangyoulei1.haodf.com,,,1,11,2.091
D33,https://zheng021.haodf.com,,,1,3,1.545
D34,https://zhjihong.haodf.com,,,1,2,1.125
D35,https://zsshiguoming.haodf.com,,,1,2,1.25
D36,https://zyxuxiao.haodf.com,,,1,3,1.4
