2doctor,dialogue
https://TanWeifeng1231.haodf.com,"['可以吃一点得舒特看看是否会有症状上的改善。可以复查一个胆囊超声，然后发给我。,病情比较复杂，建议家属带着所有病例资料来我门诊面诊。谭医生刚刚上手术台了。手术刚结束，在吃晚饭。腹腔引流液的性状拍张照片发给我看看。目前腹腔引流液的性状拍张照片发给我看看。引流液的量，每天有多少。胆囊穿孔以后就属于急腹症了，需要先治疗急腹症，等急腹症治疗好以后再考虑下一步治疗。从引流液的情况看，腹腔感染还非常严重的。如果这个腹腔感染不控制好，没法开展下一步治疗。腹腔感染从根本上来说需要做到以下几点。第一个要引流通畅和彻底。第二点需要选择敏感的抗生素。第三点，需要给予患者足够的营养支持。需要每三天将这个脓液送细菌培养和药敏实验，根据细菌的种类以及敏感的药物来选择用药。每隔三天就做一次腹腔脓液细菌培养加药敏。动态监测。另外腹腔超声以及CT每隔三到五天要复查一次，看看腹腔里面是否还有其它部位的积液引流不出来，如果有的话，需要尽量引流出来。在前面的问答中我已经回复了您治疗原则。也已经提到了很多治疗的细节建议。需要每三天将这个脓液送细菌培养和药敏实验，根据细菌的种类以及敏感的药物来选择用药。另外腹腔超声以及CT每隔三到五天要复查一次，看看腹腔里面是否还有其它部位的积液引流不出来，如果有的话，需要尽量引流出来。这些都是给你的具体建议。,然后再发给我。结果提示阴性。对的，没有检测到乙肝病毒活动。有这种情况，不用太担心。,发现胆囊结石，多发，最大的大于20毫米。预约1月29号以后住院。您好像是预约一月二十九日之后住院的。一月二十九日是农历新年后啊，现在怎么通知您住院呢。,我一月四日要到北京开会，您可以改约一月十一日的特需门诊就诊患者：。下周六可以预约复诊。从你的检验报告看，您以前感染过甲型肝炎，目前好了。感染过，现在有抵抗力了，痊愈了！其它的都是阴性结果。胆囊息肉最近复查了吗？复查结果可以发给我。,我一月四日要到北京开会，您可以改约一月十一日的特需门诊医生给患者打电话患者未接听： 医生给患者打电话患者未接听：。,像患者目前的状况，如果没有肝脏以外的转移，没有自杀倾向，可以考虑肝脏移植。你的出院记录上诊断有焦虑抑郁倾向。医生主要是治病，不会算命啊。肝癌长到很大的时候才会疼痛。,这个方面您需要问妇产科的专家！我认为，如果可以明确是肝脏小囊肿，那么为了肝脏小囊肿停止治疗一个更加严重的疾病不值得。,PET做完之后尽早来评估手术可能性。可以带上检查资料在谭主任门诊时间面诊。可以来我门诊开具。可以做普通的磁共振。,患者为低分化肝细胞癌。伴有微血管癌栓。现为肝癌切除术后8天。术后一个月开始可以考虑服用靶向药物控制肿瘤复发。每个月复查一次。肝脏超声，甲胎蛋白，肝脏功能，血常规。每三个月复查一次肝脏的CT或者磁共振。,也可能是肝内钙化灶，可以来我这里复查一下。如果是肝内钙化灶，可以不用手术治疗。如果是肝内胆管结石，并,当时肝门部胆管占位刚发现的时候，为什么最终决定不做手术切除呢。嗯，有点可惜了，这个部位需要尽早处理啊,肝移植术后胆道并发症是一种慢性疾病过程。多次ERCP取石术后胆管结构往往已经严重变形，需要看看你最近,有没有病理诊断。这个肿瘤的病理类型你们知道了吗。那拿到病理报告以后发给我。大概几天可以拿到。我需要看,请将患者的检查和检验资料按照时间顺序发给我。神经内分泌癌一般采用长效生长抑素和化疗联合治疗的方法。具,这是个长期的随访过程，每半年复查一次。胆囊息肉会逐步增大，在胆囊息肉比较小的时候，癌变几率很低，随着,考虑肝癌的可能性比较大。可以进一步取得活组织病理检查，然后根据病理报告确定是否需要进行靶向治疗。如果,门诊就诊时，请带上近期做的检查和化验报告，以及磁共振或者CT照片。先不用去做CT，周三上午来看我门诊']"
https://Yiluwennuan.haodf.com,"['必要时可以到我门诊复查，浙大邵逸夫医院庆春院区：周二上午专家门诊，周四上午名医门诊。下沙院区：周一上午专家门诊，周一下午名医门诊。,必要时可以到我门诊复查，浙大邵逸夫医院庆春院区：周二上午专家门诊，周四上午名医门诊。下沙院区：周一上午专家门诊，周一下午名医门诊。,上午11：00前都可以，尽量早点。,胆囊结石明确，充满型结石，胆囊已经没有功能，可能会腹痛，时间长了容易癌变，所以要手术的。要做腹腔镜胆囊切除手术，不适合保胆手术。,建议CT检查明确是否是肝内胆管结石，排除肝钙化灶，明确是结石，假如没有明显腹痛可以不用手术。']"
https://chengtieyao.haodf.com,"['您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。抽空看一看我发给您的文章，里面有您想了解的医学知识。《有关原发性肝癌的十二大常见问题》：。,您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。抽空看一看我发给您的文章，里面有您想了解的医学知识。《有关肝内钙化灶的七大常见问题》：。病人这么年轻，建议积极治疗。,您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。抽空看一看我发给您的文章，里面有您想了解的医学知识。《有关急性胰腺炎的十大常见问题》： 《有关微创手术治疗重症急性胰腺炎的十大常见问题》：。有好转，具体多久能恢复得问您的主治医生。,您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。抽空看一看我发给您的文章，里面有您想了解的医学知识。《有关胆管癌的十大常见问题》： 《有关肝内胆管结石的十大常见问题》：。,您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。,您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。抽空看一看我发给您的文章，里面有您想了解的医学知识。《有关原发性肝癌的十二大常见问题》：。考虑肝癌偏晚期了，不能做切除手术。建议选择介入手术联合分子靶向药物和PD1免疫治疗。没有转移，主治医生有没有给您说切除的可能性呢？,您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。可以的，增强核磁共振要一千多。您有乙肝没有呢？平常喝不喝酒呢？可以挂我的号，我星期三上午门诊。,抽空看一看我发给您的文章，里面有您想了解的医学知识。,您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。如果排除,抽空看一看我发给您的文章，里面有您想了解的医学知识。重庆医科大学附属第二医院江南院区，地址：庆市南岸,您目前有什么不舒服的症状吗？这个也可以长期吃。对的，是上腹部增强核磁共振，您结果出来之后拍照发给我。,您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。《有关肝,抽空看一看我发给您的文章，里面有您想了解的医学知识。,您先抽空看一看我发给您的文章，里面有您想了解的医学知识。《有关肝血管瘤的十大常见问题》：。考虑肝血管,您好，我是重庆医科大学附属第二医院肝胆外科的程瑶医生。以后有什么问题可以通过这个平台交流哈。您有乙肝,抽空看一看我发给您的文章，里面有您想了解的医学知识。《有关胆囊息肉的十大常见问题》：。']"
https://chenyongcq.haodf.com,"['胆囊息肉1cm以下不需要处理 每年复查b超就可以了 肾结石要多喝水，小结石有可能自行排出《关于脂肪肝，您需要知道的》：。,化疗。可以做增强mri或者直接肝穿刺活检明确肝脏有没有转移。首先是明确诊断 确定有没有肝转移。从ct描述要考虑肝转移的。如果没有转移 手术已经做了，那现在有什么问题。,个人觉得问题不大 查甲胎蛋白，如果正常 可以1-2月后再复查b超 实在不放心就做增强ct。继续低脂饮食，一年后复查。与视力无关。,一般考虑全身化疗。经济条件好加用靶向药物。可以做petct了解全身，尤其是肺部是不是转移。,胆总管结石必须处理。胆总管结石是可以通过ercp来处理，但是右肝的结石ercp基本上处理不了，需要根']"
https://chexu.haodf.com,"[""您好，首先感谢您的信任，根据上传的资料，患者目前高龄，心脏功能不全，一般身体状况较差，同时有胆道梗阻造成的梗阻性黄疸，胆红素很高。这种情况来说就算是胆管癌，目前也不能做任何的抗肿瘤治疗，目前能做的除了治疗心脏衰竭和相关对症支持治疗的前提下，看看能不能做胆管的外引流，减轻下黄疸的症状。首先，如果不进行胆道引流，患者胆红素会持续升高，导致肝功能肾功能进一步恶化，另外现在对患者来说能否确定是不是胆管癌没有意义，因为肯定无法接受相关抗肿瘤治疗。做胆管引流肯定会有一定的风险，只能说如果胆汁引流成功后会比不引流好一些，具体能使患者支撑多久这个不好说，因为患者不光是肝脏问题，还有心脏等其他疾病。引流风险主要是穿刺失败，出血，疼痛，胆道感染等，具体能否行穿刺需要和当地负责穿刺的医生具体商量。药物方面没有特殊的，现在的情况回家估计家里人没法照顾，遇到紧急情况没有药没有设备，啥也做不了，如果心衰能缓解，胆道引流也能成功，在这之后才有一线希望，如果这两个都没法做成，那预后确实不好。这样说吧，如果做了穿刺引流成功那么患者肯定比不做引流坚持的时间长，不做穿刺引流的话肯定病情无法好转。而做穿刺肯定会有一定风险，这个需要你们家属和医生沟通后来决定做不做，这其中的利弊都说清楚了，最后还是取决于你们家属的意见。如果只是从专业角度为了缓解病情，医生一般会建议做穿刺，至于穿刺带来的风险没法完全的避免。做了有可能改善，不做一定不可能改善。可以先做一个肝胆彩超。没有看到相关的研究，不推荐。疫情之下，呵护肝癌患者，肝癌名家在行动！,您好，胰腺癌的诊断是有取得病理结果吗？患者ca199增高明显吗？目前来说取得病理诊断是必须的，因为不管后期做化疗还是放疗都需要有病理诊断才能开展。如果诊断明确是胰腺癌，我相信301评估后不适合做手术，那么剩下的选择就算做全身化疗，可以化疗2个月再次复查评估，根据患者对化疗的反应及肿瘤的疗效来决定能否手术。化疗是首选方案，也是效果最好的。,术后的化疗方案是什么？发现转移后什么方案？术后肿瘤标本基因检测的结果？原发的结肠癌是哪个部位？我目前,术后病理结果？从病理结果看，还是有复发的高危因素。可以术后做介入治疗。经济条件允许，可以口服索拉菲尼,目前北京管控严格。从目前检查结果看，需要手术治疗。不要剧烈活动或是碰撞。容易导致肿瘤破裂出血。我目前,北京防控严格，建议到当地医院或我们医院在深圳的分院进一步检查。肝脏需要做增强核磁。,治疗要首选腹腔镜下肝肿物切除术，可以达到治疗效果。我周一周四上午出门诊。需要160网上约号。如果专家,如果化疗有效可以延长1年多。那是不同的肿瘤，不一样的病。,需要做增强的C'T'和核磁检测。血的肿瘤标志物检测。核磁或CT检查没有明确的强化表现。肿瘤标志物都是""]"
https://doctorlihg.haodf.com,"['理论上讲没有区别。应该一样。不客气。,没有治愈的可能。不能手术了吗？可化疗。可化疗。在哪儿手术的。可考虑化疗。,可以化疗。可考虑放疗，放疗可考虑山东省肿瘤医院。化疗好。,手术了吗？可考虑免疫治疗。已广泛转移，不能手术了。胆管细胞癌放化疗效果都不会好。应该是。可加上。放疗可止痛。现在来讲应该用PD1。PD1 有副作用。有精准放疗。是的，因人而异，副作用有时候让人受不了。山东省肿瘤医院放疗挺好的。精准放疗就是更精准，副作用要小一些。没有中成药。可以，止痛效果不好。,血管瘤不需要处理，胆囊萎缩需要处理。']"
https://doctormy.haodf.com,"['把片子传给我看看。照的比前面好很多，我个人怀疑是腺瘤或者局灶性结节性增生，建议做一下肝脏普美显增强核磁检查。不是的，考虑良性病变。我建议你手术，如果不想手术，就要密切观察。不太像血管瘤，做普美显增强核磁，不是其他核磁，可以根治，谨慎的话，可以再检测一下AFP CEA CA125 CA199以及肝炎系列。不太严重，可能性很小。,建议微创手术治疗。可以预约床位，等通知再来住院。腹腔镜手术，费用大概7万左右，有医保可以报销部分。左侧压胃，手术都有风险，住院10天左右。都可以微创，手术是切除，瘤子就没有了。,查一下血淀粉酶和电子胃镜。先做我说的检查再说，目前无法确定。,如果有疼痛症状，可以考虑微创手术治疗。可以观察，目前没有控制办法。,没有，2万左右。医保报销需要咨询医保部门，我不太清楚。你现在就是在保守治疗。,药物治疗意义不大，你可以吃，当地医生开的药，还可以吃优思弗，这个更好一些！缓解症状可以吃乐松，芬必得,需要完善肝脏增强核磁或增强CT，检测肝炎系列，AFP，CA125，ca199，CEA水平。别客气，化,首先要确诊，才能知道严不严重。目前确诊不了，需要完善肝脏增强核磁或增强CT，检测肝炎系列，CA125,你这胆囊息肉需要手术治疗，补开病本需要在我院平台挂号，只有挂上我的号才可以。是的。0.8以上有症状也,没事，不要紧。过一个月复查一下，可能就正常了。比较符合。不太高。不能完全排除，三个月后复查吧，看看变化。不容易。']"
https://doctoryindalong.haodf.com,"['还是建议到医院看看吧。都可以。,如果没有任何结石引起的症状可以口服熊去氧胆酸，三个月后复查彩超。都可以。片剂和胶囊都可以，是这个成分就行。胶囊是进口的，稍微贵一点。症状是右上腹胀痛。也可以吃到一个月先复查一次。,常规手术，当地是否能做要咨询当地医生。要提前约时间。一般三个月，因人而异，也有症状轻的，也有症状明显的。一万二左右。15号有点迟，13号可以办住院，16号左右手术，否则就不一定能做了。术前检查要2-3天，如果17号做不上手术年前就做不上了。13号来就可以住院，早上到总院门诊找我。庐江路17号安徽省立医院总院门诊三楼。双环醇不用吃半年，吃一到两周即可。去氧胆酸可以口服半年，调节胆汁代谢。饮食没有统一规定，自己寻找规律，清淡为主，少量多次，只要没有明显腹胀腹泻就可以。右肩膀酸痛可以用热水袋热敷腹部观察。感冒了可以正常迟感冒药，不影响。一般术后7-10天就可以拆线了。只要是这个成分的就可以，也有胶囊。主要是为了调节胆汁代谢，减少结石复发。熊去氧胆酸胶囊，用法一样。不是一个成分也不发挥作用啊。反正是这个成分就可以，价格需要你到药店去问，我不太清楚。是降低结石复发风险，不方便就先不吃了，复发时候再说。应该也可以，不过是50mg一片，可能需要服用剂量加大，按照说明书服用吧。如果成分一样可以换，按照说明书调整好用量即可。根据你自己体重计算吧一片药50mg如果你体重50kg，需要400-500mg，也就是8-10片，分两次服用。也就是一次4-5片，一天两次。你要是不会算，或者怕吃错剂量就用原来的药，或者问购买的药店。你说的这个药我没用过，没什么经验。如果是原来的药按照原来的用法服用，服用半年后复查即可。可以到消化科看看，考虑是胃肠道功能紊乱。既然发现和不吃早餐有关系，那就规律用餐。,我只有每周一门诊，可以网上预约挂号。肯定要做T管造影。可以。有胆道镜结果也可以。我下周一门诊。现在所,根据目前提供的检查结果胆囊炎症不是很重，属于慢性胆囊炎，可以停用头孢类抗生素。消炎利胆片可以继续服用']"
https://drliuff.haodf.com,"['综合还是考虑AIP可能大。自身免疫性胰腺炎。是的，可以和当地医生探讨，明确诊断后 加用强的松治疗的可能。发病率不高，建议保守治疗，可请影像专家会诊你的CT，在无法排除胰腺癌情况下，可穿刺活检。,根据你提供的CT，片子和报告应该诊断为胰体尾癌，并且有肝转移，是V期病人，不考虑手术，下一步的治疗可以选择全身化疗或者是口服药物，你可以选择替吉奥单药化疗，还有阿帕替尼，也可以选择，但是要考虑到它的副作用以及他的用药指征，该病人获益不大。化疗方案里是吉西他滨或者白蛋白紫杉醇为主的方案。靶向药物奥拉帕利的使用，需要取病理，然后去监测BRRA基因有无突变，有用药的指征才能够使用。再有注意就是胰腺的神经内分泌癌，这个需要取穿刺取组织活检之后才能够定的，那么如果是神经内分泌肿瘤的话，那么你治疗的方向和方案会有变化。,主要还是肝功能的异常，而且是反复的出现，这个和你肝上的血管瘤没有必然的联系我建议你要查一下肝脏的抗原谱，然后看有没有自身免疫性的一些肝病的一些问题。因为吃优甲乐不会导致肝功能反复受损这种情况。可以，保肝治疗。,胆囊息肉比较小，现在才3mm，只有在超过1cm的胆囊息肉的时候才考虑手术治疗，现在B超观察就可以每半年可以做1次B超看一下。胆囊息肉不会引起背部胀的，如果你有慢性胆囊炎的话，可能会引起背部症状。,超出移植指征，建议介入化疗，加分子靶向药物。']"
https://dryanjianjun.haodf.com,"['目前肝功能检查结果怎么样？有没有具体的片子？从我们的技术来看，只要病人身体和肝功能可以耐受，这个肿瘤，没有切不了的，关键还是要当面看详细具体的片子。具体方案应该最好是当面就诊，手术不能做，射频消融呢？介入呢？还有其他很多方法，要综合考虑患者的情况。介入主要是控制肿瘤。最好的方法是手术切除。没结束，我说了，具体哪种更合适，最好当面就诊，这里我没法给你确定具体的方案。我说了这个小肿瘤，切除本身是没有太大困难，关键是看身体和各项功能。化验单没有肝功能。,诊断考虑是肝癌，目前病人情况怎么样，肝功能如何？最好是尽快带病人来当面就诊。明天上午我在安亭新院专家门诊。,胆囊结石一旦有发作，就需要手术治疗。手术是最好的，唯一的方案。一般不会，这是一个很成熟的方案。不客气。,目前诊断是肝癌多发，肝硬化，肝功能失代偿，目前只能保肝利尿治疗，等肝功能恢复后再考虑肝癌的治疗。目前情况建议在当地住院治疗，具体用药都差不多的。具体还的看肝功能恢复，如果肝功能能恢复，可能还有机会，否则，就肝功能不好就有生命危险的。目前不存在临床实验的项目。,手术后做过介入吗？病理诊断提示有癌栓，具备高复发风险，中药可以不吃了。靶向药物理论上可以用，但两个问题需要明白，一，费用高，二，总体有效率不高，大概百分之三十左右。免疫药可间断使用。关于靶向药物，目前已经术后半年了，复查没有问题的话，可暂时不考虑，继续定期复查。,可以继续做介入。需要复查后看到具体病情才能分析。上次介入效果还不错，但目前肝内朋友小的病灶，而且没有']"
https://dryuanlei.haodf.com,"['患者需要进行化疗。我们这里常用：替吉奥胶囊。卡培他滨。不用谢。保持联系。OK。,感谢您的信任，病情资料我已详细阅读。您目前的检查资料不齐全，需要补充以下检查：影像检查资料、手术记录、术后病理、最近抽血化验结果根据您现有的资料，建议：补充进一步资料后，提供建议。,你好！可以直接来病房找我。上海市 嘉定区 安亭镇 墨玉北路700号，东方肝胆外科医院，2号楼10楼。可以。,感谢您的信任，病情资料我已详细阅读。您目前的检查资料不齐全，需要补充以下检查：影像检查结果、抽血化验结果根据您现有的资料，建议：使用通便药物、尽快排出大便。不用谢，尽快去医院就诊。,你好。不用谢。你好！能听到吗？现在CA199数值还偏高一些，上一次CA199数值是多少？可以对比一下。看上去CA199稍有上升，这次CT片子我看过了，报告出来没有？这个指标是肿瘤标志物。片子在网上看有一定误差，因为清晰度和细节观察肯定不如当面看，初步看片子，肝门区结构叫紊乱，似乎有一些软组织增厚影。这个地方是以前手术中胆肠吻合的地方，也靠近既往肿瘤所在的地方。只是看上去组织增厚，所以你最好提供一下CT报告，毕竟是网上阅片，清晰度欠佳。不用谢，保持联系。,你好！肝脏病灶最早是18年4月发现的？有没有相关的抽血化验结果？目前，肝脏病灶不考虑血管瘤，鉴于患者']"
